t,x,y,vy,ay,K,Pot,Mec
0,-8.702,1001,,,,,
33,-8.692,1000,-13.86,,0.0008833,,
67,-8.327,1000,-19.11,-16.95,0.001573,0.1339,0.1354
100,-8.309,999,-15.79,162,0.0009922,-1.28,-1.279
133,-8.417,999,-7.044,121,0.0002057,-0.9557,-0.9555
167,-8.414,999,-6.953,31.17,0.0002057,-0.2458,-0.2456
200,-8.288,998,-6.953,89.59,0.0002057,-0.7065,-0.7063
233,-8.285,998,0,-30.77,0,0.2426,0.2426
267,-8.288,998,-6.998,-88.42,0.0001936,0.6972,0.6974
300,-8.273,998,-10.41,-29.99,0.000484,0.2364,0.2369
333,-8.036,997,-5.203,73.81,0.000121,-0.5816,-0.5815
367,-8.147,997,-7.044,-121,0.0002057,0.9544,0.9546
400,-8.141,997,-12.25,-74.98,0.0005929,0.5906,0.5912
433,-8.126,996,-14.04,-29.6,0.0007865,0.233,0.2338
467,-8.233,996,-12.25,16.56,0.0005929,-0.1303,-0.1297
500,-8.104,996,-13.91,0.7811,0.0008228,-0.006144,-0.005321
533,-7.976,995,-12.2,-16.17,0.000605,0.1271,0.1277
567,-7.966,995,-14,-60.77,0.0007744,0.4776,0.4783
600,-7.951,994,-17.5,-30.77,0.00121,0.2417,0.2429
633,-7.936,994,-15.79,164,0.0009922,-1.286,-1.285
667,-8.041,993,-7.09,150,0.000242,-1.177,-1.176
700,-8.157,993,-3.545,1.172,0.0000605,-0.009193,-0.009133
733,-8.151,993,-8.748,-224,0.0003025,1.758,1.759
767,-8.142,993,-17.5,-89.98,0.00121,0.7056,0.7068
800,-8.121,992,-17.5,1.562,0.00121,-0.01224,-0.01103
833,-8.112,991,-13.91,-2.343,0.0008228,0.01835,0.01918
867,-7.863,991,-19.34,-17.34,0.001512,0.1357,0.1372
900,-8.312,990,-15.93,-74.98,0.001174,0.5865,0.5877
933,-8.302,990,-21,-235,0.001742,1.84,1.841
967,-8.275,989,-34.9,152,0.004888,-1.184,-1.179
1000,-8.008,987,-13.86,360,0.0008833,-2.805,-2.804
1033,-7.901,988,-1.704,164,0.0000242,-1.278,-1.278
1067,-7.889,987,-10.45,-88.03,0.0004477,0.6866,0.6871
1100,-7.766,987,-5.067,78.11,0.0003025,-0.6091,-0.6088
1133,-7.413,987,-4.975,-197,0.0005445,1.532,1.533
1167,-7.057,987,-17.41,-124,0.001258,0.9657,0.967
1200,-7.149,986,-17.54,58.03,0.001222,-0.452,-0.4508
1233,-7.143,986,-8.748,166,0.0003025,-1.291,-1.29
1267,-7.134,985,-8.748,-44.21,0.0003025,0.3441,0.3444
1300,-7.128,985,-10.45,-180,0.0004477,1.403,1.404
1333,-6.999,985,-21,-29.21,0.001742,0.2272,0.229
1367,-7.092,984,-15.7,15.39,0.0009922,-0.1196,-0.1186
1400,-6.855,984,-13.91,29.99,0.0008228,-0.233,-0.2322
1433,-6.834,983,-19.25,-16.56,0.001464,0.1286,0.13
1467,-6.822,982,-12.25,13.43,0.0005929,-0.1042,-0.1037
1500,-6.813,982,-17.59,-179,0.001258,1.39,1.391
1533,-7.025,981,-26.24,-193,0.002722,1.493,1.496
1567,-6.767,980,-29.61,257,0.003606,-1.989,-1.986
1600,-6.623,979,-12.16,193,0.0006413,-1.496,-1.495
1633,-6.513,979,-8.703,-226,0.0003146,1.749,1.75
1667,-6.491,978,-33.24,-466,0.004368,3.6,3.604
1700,-6.455,977,-40.24,44.99,0.006401,-0.3473,-0.3409
1733,-6.422,976,-29.74,255,0.003497,-1.965,-1.962
1767,-6.403,975,-21,32.34,0.001742,-0.2491,-0.2474
1800,-6.385,974,-27.86,-149,0.003206,1.145,1.149
1833,-6.005,973,-33.11,-226,0.004477,1.739,1.743
1867,-5.977,972,-40.24,-17.34,0.006401,0.1332,0.1396
1900,-5.935,971,-38.49,59.99,0.005856,-0.46,-0.4541
1933,-5.911,970,-31.49,271,0.00392,-2.074,-2.07
1967,-5.88,968,-24.45,180,0.002384,-1.38,-1.377
2000,-5.751,968,-15.7,225,0.0009922,-1.717,-1.716
2033,-5.736,967,-12.25,74.2,0.0005929,-0.5671,-0.5665
2067,-5.73,967,-8.748,-226,0.0003025,1.725,1.725
2100,-5.721,967,-26.29,-285,0.002735,2.173,2.176
2133,-5.801,965,-33.24,-42.65,0.004368,0.3253,0.3296
2167,-5.663,965,-24.36,61.94,0.00248,-0.472,-0.4695
2200,-5.409,964,-29.61,-46.16,0.003606,0.3515,0.3551
2233,-5.262,963,-29.7,133,0.003509,-1.012,-1.008
2267,-5.241,962,-19.25,134,0.001464,-1.02,-1.018
2300,-5.228,961,-19.25,105,0.001464,-0.7973,-0.7958
2333,-5.207,961,-15.75,13.43,0.0009801,-0.1019,-0.101
2367,-5.201,960,-14.09,29.21,0.0008228,-0.2216,-0.2208
2400,-5.416,960,-17.59,-309,0.001258,2.341,2.342
2433,-5.404,959,-30.31,-293,0.003883,2.222,2.226
2467,-5.952,958,-42.84,-284,0.007307,2.146,2.153
2500,-5.656,956,-44.97,113,0.00831,-0.8564,-0.8481
2533,-5.35,955,-39.18,200,0.00616,-1.51,-1.504
2567,-5.326,954,-27.45,131,0.003004,-0.9849,-0.9819
2600,-5.171,953,-31.53,137,0.003964,-1.033,-1.03
2633,-5.533,952,-21.5,14.2,0.001906,-0.1068,-0.1049
2667,-4.872,951,-23.62,-339,0.002211,2.547,2.549
2700,-5.623,950,-49.41,-320,0.01008,2.401,2.411
2733,-5.572,948,-47.03,141,0.008843,-1.055,-1.046
2767,-5.279,947,-35.25,67.34,0.005001,-0.5037,-0.4987
2800,-5.249,946,-43.16,-2.192,0.007395,0.01638,0.02377
2833,-5.073,944,-39.28,268,0.006099,-2.002,-1.996
2867,-5.18,943,-21.66,185,0.00186,-1.376,-1.375
2900,-5.167,943,-25.53,-149,0.002577,1.109,1.111
2933,-5.136,941,-35.25,-100,0.005001,0.7446,0.7497
2967,-4.844,940,-31.32,167,0.003964,-1.244,-1.24
3000,-4.82,939,-23.57,-136,0.002196,1.012,1.015
3033,-4.803,939,-37.32,-152,0.005504,1.123,1.129
3067,-4.755,937,-41.24,17.71,0.006724,-0.1311,-0.1244
3100,-4.731,936,-29.41,287,0.003446,-2.119,-2.116
3133,-4.573,935,-25.48,-219,0.002592,1.619,1.622
3167,-4.556,934,-39.28,-136,0.006099,1,1.006
3200,-4.505,932,-43.21,101,0.00738,-0.7439,-0.7365
3233,-4.481,931,-25.53,251,0.002577,-1.845,-1.842
3267,-4.46,931,-27.6,-0.8768,0.003049,0.006446,0.009495
3300,-4.695,929,-27.6,-403,0.003049,2.96,2.963
3333,-4.674,929,-49.1,-453,0.009529,3.322,3.331
3367,-4.61,926,-66.78,-401,0.01763,2.931,2.948
3400,-4.558,924,-68.54,-183,0.01892,1.339,1.358
3433,-3.967,922,-82.28,302,0.02714,-2.2,-2.173
3467,-3.892,919,-52.98,554,0.01113,-4.023,-4.011
3500,-3.744,918,-33.24,219,0.004544,-1.59,-1.586
3533,-3.441,917,-47.03,-103,0.008843,0.744,0.7529
3567,-3.4,915,-39.28,65.58,0.006099,-0.474,-0.468
3600,-3.373,914,-39.28,-69.09,0.006099,0.4988,0.5049
3633,-3.332,912,-47.24,-0.8768,0.008843,0.00632,0.01516
3667,-3.553,911,-39.38,203,0.00616,-1.46,-1.454
3700,-3.525,910,-31.42,105,0.003903,-0.7511,-0.7472
3733,-3.498,909,-33.29,51.38,0.004467,-0.3688,-0.3644
3767,-3.205,907,-29.36,49.63,0.003492,-0.3558,-0.3523
3800,-3.185,907,-27.5,-70.85,0.002988,0.5075,0.5104
3833,-3.158,906,-35.45,-605,0.005001,4.33,4.335
3867,-3.386,904,-64.81,-621,0.0166,4.437,4.454
3900,-3.045,901,-84.35,117,0.02825,-0.8328,-0.8046
3933,-2.977,899,-55.1,738,0.01201,-5.24,-5.228
3967,-3.212,898,-29.56,455,0.003492,-3.23,-3.226
4000,-3.188,897,-27.5,-133,0.002988,0.9417,0.9446
4033,-3.164,896,-37.32,-421,0.005504,2.978,2.984
4067,-3.123,894,-56.96,-43.49,0.01282,0.3072,0.3201
4100,-3.065,892,-44.76,18.59,0.009042,-0.131,-0.1219
4133,-1.997,891,-44.87,253,0.008615,-1.778,-1.769
4167,-2.201,889,-41.09,11.13,0.006861,-0.07821,-0.07134
4200,-1.533,889,-31.27,-303,0.00404,2.13,2.134
4233,-1.754,887,-66.83,-543,0.01764,3.802,3.82
4267,-1.548,884,-72.67,253,0.02087,-1.77,-1.749
4300,-1.627,882,-45.22,486,0.008081,-3.387,-3.379
4333,-1.6,881,-37.42,16.83,0.005565,-0.1172,-0.1116
4367,-1.824,880,-47.24,-200,0.008843,1.392,1.4
4400,-1.78,878,-51.01,-199,0.01032,1.38,1.39
4433,-1.605,876,-58.82,0,0.01378,0,0.01378
4467,-1.416,874,-54.94,135,0.01197,-0.9329,-0.9209
4500,-1.378,873,-45.07,252,0.008127,-1.735,-1.726
4533,-1.076,871,-41.19,48.31,0.006739,-0.3324,-0.3257
4567,-1.176,870,-39.38,-439,0.00616,3.02,3.026
4600,-1.269,868,-68.79,-319,0.01869,2.185,2.204
4633,-1.188,865,-70.7,68.21,0.01976,-0.4663,-0.4465
4667,-1.147,864,-53.03,556,0.01112,-3.796,-3.785
4700,-1.095,862,-41.19,116,0.006739,-0.7873,-0.7805
4733,-0.944,861,-37.42,-221,0.005565,1.5,1.506
4767,-1.293,859,-61.04,-354,0.01479,2.403,2.417
4800,-1.231,857,-62.9,-171,0.01563,1.154,1.17
4833,-1.314,855,-67.08,68.21,0.01817,-0.4608,-0.4426
4867,-1.901,852,-64.92,291,0.01667,-1.957,-1.94
4900,-1.464,851,-43.06,237,0.007517,-1.593,-1.585
4933,-1.433,849,-47.24,-341,0.008843,2.289,2.298
4967,-1.644,848,-68.89,-491,0.01881,3.289,3.308
5000,-1.706,845,-80.78,47.43,0.02601,-0.3166,-0.2906
5033,-2.159,842,-67.19,371,0.0186,-2.47,-2.451
5067,-2.638,840,-51.27,206,0.01055,-1.37,-1.36
5100,-2.594,839,-55.04,1.315,0.01197,-0.008715,0.003254
5133,-2.673,837,-53.18,-120,0.01125,0.7935,0.8047
5167,-2.894,835,-59.13,-34.55,0.01397,0.2279,0.2419
5200,-3.095,833,-61.09,17.71,0.0149,-0.1165,-0.1016
5233,-3.312,831,-53.18,53.57,0.01125,-0.3517,-0.3405
5267,-3.396,829,-58.92,-192,0.01372,1.26,1.274
5300,-3.21,827,-66.32,1.315,0.01886,-0.008595,0.01027
5333,-2.101,825,-60.63,149,0.01503,-0.973,-0.958
5367,-2.45,823,-52.98,76.72,0.01113,-0.4989,-0.4878
5400,-1.878,821,-56.96,-186,0.01282,1.207,1.22
5433,-2.351,819,-65.02,-290,0.01685,1.875,1.892
5467,-2.289,817,-76.7,187,0.02325,-1.206,-1.183
5500,-2.48,814,-57.11,421,0.01296,-2.71,-2.697
5533,-2.583,813,-39.33,-132,0.006114,0.8454,0.8516
5567,-2.542,812,-68.69,-723,0.01869,4.633,4.651
5600,-2.333,809,-92.26,-222,0.0337,1.418,1.451
5633,-2.251,805,-82.64,638,0.02703,-4.057,-4.029
5667,-2.583,803,-49.25,651,0.009667,-4.129,-4.119
5700,-2.559,802,-33.8,-119,0.005382,0.7523,0.7577
5733,-3.572,801,-59.33,-669,0.0147,4.232,4.247
5767,-3.504,798,-82.44,-196,0.02691,1.238,1.265
5800,-3.298,795,-72.72,182,0.02089,-1.144,-1.123
5833,-3.509,793,-65.02,151,0.01685,-0.9441,-0.9272
5867,-3.709,791,-66.88,36.3,0.01769,-0.2268,-0.2091
5900,-3.655,789,-60.88,221,0.01465,-1.375,-1.36
5933,-3.604,787,-53.03,-49.63,0.01112,0.3085,0.3196
5967,-3.563,785,-60.83,-116,0.01467,0.7175,0.7322
6000,-3.367,783,-66.62,34.11,0.01776,-0.2109,-0.1932
6033,-3.054,781,-54.89,166,0.01201,-1.022,-1.01
6067,-3.01,779,-55.04,-272,0.01197,1.677,1.689
6100,-3.089,777,-72.77,-253,0.02093,1.556,1.577
6133,-3.145,774,-76.7,-15.96,0.02325,0.09762,0.1209
6167,-3.218,772,-68.79,-13.77,0.01869,0.08397,0.1027
6200,-3.157,770,-78.46,-199,0.02446,1.207,1.232
6233,-2.82,767,-84.25,20.34,0.02844,-0.1232,-0.09481
6267,-2.486,764,-76.29,455,0.02374,-2.744,-2.72
6300,-1.901,762,-54.74,131,0.01233,-0.7868,-0.7744
6333,-1.736,761,-60.88,-54.89,0.01465,0.3298,0.3444
6367,-1.796,758,-68.79,221,0.01869,-1.323,-1.305
6400,-1.748,756,-41.09,118,0.006861,-0.7063,-0.6995
6433,-1.331,755,-54.94,-1008,0.01197,6.012,6.024
6467,-1.521,752,-114,-742,0.05143,4.41,4.461
6500,-0.7406,747,-114,438,0.05143,-2.587,-2.536
6533,-0.9309,745,-72.67,887,0.02087,-5.218,-5.197
6567,-0.6145,743,-57.01,148,0.01284,-0.8708,-0.858
6600,-0.963,741,-61.19,-121,0.0152,0.7102,0.7255
6633,-1.294,739,-69,-80.23,0.01906,0.4681,0.4871
6667,-1.498,736,-64.86,224,0.01662,-1.301,-1.284
6700,-1.313,734,-54.89,-64.71,0.01201,0.3753,0.3873
6733,-1.141,733,-64.71,-159,0.01667,0.9175,0.9342
6767,-0.9384,730,-72.98,-54.89,0.02142,0.3165,0.3379
6800,-1.8,728,-63.21,440,0.01636,-2.529,-2.513
6833,-1.746,726,-47.14,-231,0.008782,1.326,1.335
6867,-1.719,725,-68.84,-960,0.01874,5.493,5.512
6900,-1.888,721,-122,0.4384,0.05862,-0.002497,0.05613
6933,-1.638,716,-76.6,927,0.02319,-5.246,-5.223
6967,-1.755,716,-37.37,117,0.005519,-0.664,-0.6585
7000,-1.704,714,-80.53,-555,0.02563,3.129,3.154
7033,-1.616,711,-80.53,-118,0.02563,0.6615,0.6872
7067,-1.564,709,-76.6,286,0.02319,-1.602,-1.579
