t,x,y,vy,ay,K,Pot,Mec
0,-4778.004,1001132,,,,,
33333.33,-4624.523,1000306,-18645.55,,1.373716,,
66666.67,-4754.955,999888.9,-16650.66,70372.11,1.153243,-555.8779,-554.7247
100000,-4880.264,999195.8,-16612.24,-105558.2,1.102365,833.2389,834.3412
133333.3,-4872.581,998781.4,-20717.28,-68396.42,1.695945,539.6733,541.3693
166666.7,-4854.654,997814.6,-24745.49,-105558.2,2.594796,832.0871,834.6819
200000,-4427.503,997131.7,-24745.49,140414.9,2.594796,-1106.096,-1103.502
233333.3,-4409.575,996164.9,-18683.97,48333.79,1.390675,-380.3725,-378.9819
266666.7,-4542.568,995886.1,-16765.9,-33868.93,1.509391,266.4638,267.9732
300000,-5079.662,995047.2,-24860.74,38808.15,2.442161,-305.0659,-302.6238
333333.3,-4511.835,994228.7,-14348.43,-15781.98,1.102365,123.9581,125.0605
366666.7,-4509.274,994090.6,-20678.86,317333.1,1.712905,-2492.117,-2490.404
400000,-4348.109,992850.1,-4105.04,-141732.1,0.08479727,1111.678,1111.763
433333.3,-4366.037,993817,-12391.95,-177906,0.6274998,1396.767,1397.395
466666.7,-4194.628,992024,-35180.96,-160148.3,4.918242,1255.081,1259.999
500000,-4184.383,991471.6,-12430.37,531412.9,0.6105403,-4162.358,-4161.748
533333.3,-4179.261,991195.3,-2110.144,-54260.85,0.03391891,424.8865,424.9204
566666.7,-4319.937,991330.9,-12507.2,-142719.9,0.6783782,1117.713,1118.391
600000,-4440.125,990361.5,-18722.38,-88129.78,1.441554,689.5147,690.9563
633333.3,-4573.118,990082.7,-12468.78,107533.9,0.6274998,-841.0926,-840.4651
666666.7,-4562.874,989530.3,-14502.1,-122328,0.8310133,956.2733,957.1043
700000,-4555.191,989115.9,-18568.72,-52614.44,1.441554,411.1301,412.5716
733333.3,-4263.594,988292.3,-20640.45,141402.8,1.763783,-1104.004,-1102.24
766666.7,-4253.349,987739.9,-8286.912,248607.4,0.2713513,-1939.919,-1939.648
800000,-4253.349,987739.9,-1994.896,-53273.01,0.08479727,415.697,415.7818
833333.3,-3974.558,987606.9,-12391.95,-177906,0.6274998,1388.039,1388.667
866666.7,-4099.868,986913.8,-16573.82,-213750.6,1.085405,1666.532,1667.617
900000,-3954.069,986502,-22750.59,-408097.1,2.069053,3180.45,3182.519
933333.3,-3933.581,985397,-45578.02,-215067.7,8.208376,1674.224,1682.432
966666.7,-3897.726,983463.4,-41511.39,318979.5,6.851619,-2478.267,-2471.415
1000000,-4158.59,982629.6,-18722.38,409084.9,1.441554,-3175.634,-3174.192
1033333,-4150.906,982215.3,-14502.1,-87471.22,0.8310133,678.733,679.564
1066667,-4140.662,981662.8,-24860.74,-36173.9,2.442161,280.5335,282.9757
1100000,-4120.173,980557.9,-20755.7,34527.49,1.712905,-267.464,-265.7511
1133333,-4253.166,980279.1,-16650.66,71030.67,1.153243,-550.0761,-548.9229
1166667,-4375.915,979447.8,-20755.7,-105558.2,1.712905,816.7709,818.4838
1200000,-4365.671,978895.4,-20717.28,36173.9,1.695945,-279.7427,-278.0467
1233333,-4350.304,978066.7,-20717.28,35515.34,1.695945,-274.4173,-272.7214
1266667,-4340.06,977514.2,-16573.82,-658.5625,1.085405,5.085659,6.171064
1300000,-4329.816,976961.8,-20755.7,-35844.62,1.712905,276.6487,278.3616
1333333,-4452.565,976130.5,-20755.7,-106216.7,1.712905,819.083,820.7959
1366667,-4442.32,975578.1,-24860.74,0,2.442161,0,2.442161
1400000,-4421.832,974473.1,-24899.15,-987.8438,2.459121,7.604755,10.06388
1433333,-4549.703,973918.1,-20794.11,106546,1.763783,-819.76,-817.9962
