t,y,vy,ay,K,Pot,Mec
0.00000,1.00300,,,,,
0.03300,0.99700,-0.33300,,0.00044,,
0.06700,0.98000,-0.68400,-10.59000,0.00186,0.08201,0.08387
0.10000,0.95100,-1.04500,-10.83000,0.00432,0.08141,0.08573
0.13300,0.91100,-1.40100,-9.65100,0.00776,0.06944,0.07720
0.16700,0.85800,-1.70100,-11.95000,0.01143,0.08097,0.09240
0.20000,0.79700,-2.15500,-10.91000,0.01835,0.06876,0.08711
0.23300,0.71400,-2.50800,-9.57800,0.02484,0.05404,0.07888
0.26700,0.63000,-2.72000,-8.89600,0.02922,0.04429,0.07352
0.30000,0.53300,-3.12700,-11.57000,0.03862,0.04871,0.08733
0.33300,0.42200,-3.49800,-9.51200,0.04833,0.03170,0.08003
0.36700,0.30000,-3.76400,-16.03000,0.05597,0.03796,0.09393
0.40000,0.17100,-4.48400,,0.07941,,
0.43300,0.00082,,,,,
