t,x,y,vy,ay,K,Pot,Mec
0,-8701.554,1000615,,,,,
33333.33,-8692.441,1000265,-13860.26,,0.8832873,,
66666.67,-8327.328,999690.8,-19109.12,-16949.56,1.572977,133.8601,135.4331
100000,-8309.102,998990.9,-15792.15,162230.2,0.9921857,-1280.326,-1279.334
133333.3,-8416.63,998638,-7044.046,121145.6,0.205697,-955.747,-955.5413
166666.7,-8413.592,998521.3,-6952.915,31165.18,0.205697,-245.8408,-245.6351
200000,-8287.838,998174.4,-6952.915,89589.9,0.205697,-706.4682,-706.2625
233333.3,-8284.8,998057.8,0,-30774.61,0,242.6473,242.6473
266666.7,-8287.838,998174.4,-6998.481,-88418.21,0.1935972,697.2287,697.4223
300000,-8272.649,997591.2,-10406.59,-29993.49,0.483993,236.3778,236.8618
333333.3,-8036.329,997480.7,-5203.295,73812.03,0.1209983,-581.646,-581.525
366666.7,-8146.895,997244.3,-7044.046,-121145.6,0.205697,954.4133,954.619
400000,-8140.819,997011,-12247.34,-74983.72,0.5928915,590.6008,591.1937
433333.3,-8125.631,996427.8,-14042.53,-29602.93,0.7864887,233.0277,233.8142
466666.7,-8233.159,996074.9,-12247.34,16559,0.5928915,-130.3026,-129.7097
500000,-8104.367,995611.4,-13905.83,781.1257,0.8227881,-6.143812,-5.321023
533333.3,-7975.575,995147.8,-12201.78,-16168.43,0.6049913,127.1108,127.7158
566666.7,-7966.461,994797.9,-13996.96,-60768.1,0.7743888,477.5707,478.345
600000,-7951.273,994214.7,-17496.2,-30774.61,1.209983,241.7129,242.9229
633333.3,-7936.084,993631.5,-15792.15,163792.5,0.9921857,-1285.72,-1284.728
666666.7,-8040.575,993161.9,-7089.612,149967.4,0.2419965,-1176.641,-1176.399
700000,-8157.216,993158.8,-3544.806,1171.689,0.06049913,-9.193016,-9.132517
733333.3,-8151.141,992925.6,-8748.101,-224170,0.3024956,1758.415,1758.717
766666.7,-8142.028,992575.6,-17496.2,-89980.47,1.209983,705.5681,706.7781
800000,-8120.764,991759.2,-17496.2,1562.251,1.209983,-12.24008,-11.0301
833333.3,-8111.65,991409.2,-13905.83,-2343.377,0.8227881,18.35364,19.17643
866666.7,-7863.179,990832.1,-19336.95,-17340.12,1.512478,135.7311,137.2436
