t,x,y,vy,ay,K,Pot,Mec
2338,0.6799,995,,,,,
2371,-0.1161,994,-21.1,,0.001765,,
2405,0.5937,994,-26.17,-583,0.002934,4.58,4.583
2438,0.3906,992,-63.19,24.8,0.01578,-0.1944,-0.1786
2472,0.6863,989,-35.18,695,0.004919,-5.43,-5.426
2505,0.208,990,1.794,557,0.00002435,-4.356,-4.356
2538,0.8008,990,-8.66,-618,0.000414,4.83,4.83
2572,0.5719,989,-33.5,-199,0.00459,1.555,1.559
2605,0.3816,987,-33.43,-43.81,0.004444,0.3417,0.3462
2639,0.3867,987,-22.86,378,0.00207,-2.946,-2.944
2672,0.298,986,-19.31,-136,0.001473,1.06,1.061
2705,0.415,986,-21.1,333,0.001765,-2.596,-2.594
2739,0.2118,984,-10.45,181,0.000487,-1.409,-1.409
2772,0.6645,985,5.381,-74.23,0.0002192,0.5777,0.5779
2806,0.5552,985,-22.78,-802,0.00207,6.237,6.239
2839,0.8149,984,-47.47,-469,0.008924,3.645,3.654
2872,0.3906,982,-56.4,62.82,0.01291,-0.4872,-0.4743
2906,0.1951,980,-42.01,453,0.007123,-3.507,-3.5
2939,0.8033,979,-24.57,481,0.002386,-3.723,-3.72
2973,0.2311,978,-10.61,-122,0.000487,0.9404,0.9408
3006,0.5847,978,-28.01,-301,0.003166,2.325,2.328
3039,0.5063,976,-40.52,-47.12,0.006636,0.3634,0.3701
3073,0.1758,975,-24.65,149,0.002435,-1.149,-1.147
3106,0.3083,975,-29.99,-131,0.003713,1.012,1.016
3140,-0.2485,973,-36.82,-131,0.005381,1.008,1.014
3173,0.4793,972,-36.55,434,0.006149,-3.331,-3.325
3206,0.7416,971,-12.48,99.69,0.000901,-0.7647,-0.7638
3240,-0.08778,971,-17.75,-267,0.001522,2.045,2.047
3273,0.1823,970,-43.65,-343,0.008048,2.631,2.639
3307,0.6786,969,-35.1,207,0.00487,-1.581,-1.576
3340,0.2337,967,-29.99,285,0.003713,-2.175,-2.171
3373,0.2543,967,-17.55,153,0.001218,-1.169,-1.168
